a,a,a,a,a
113009930,WISC FDRY & MACH CO,1041 E Wilson St,Madison,Dane
113011360,U S OIL - MCFARLAND TERMINALS,4306 & 4402 Terminal Dr,Mc Farland,Dane
113011470,FLINT HILLS RESOURCES PINE BEND LLC - MCFARLAND FACILITY,4405 Terminal Dr,Mc Farland,Dane
113012240,DIDION INC,4307 Terminal Drive,Mc Farland,Dane
113012350,ARC TERMINALS HOLDINGS LLC,4009 Triangle St,Mc Farland,Dane
113012680,SCIENTIFIC PROTEIN LABS,700 E Main St,Waunakee,Dane
113013340,BOU-MATIC LLC,1919 S Stoughton Rd,Madison,Dane
113013670,SUB-ZERO FREEZER CO INC,4717 Hammersley Rd,Madison,Dane
113014000,WI DOA CAPITOL POWER PLANT,624 E Main St,Madison,Dane
113014110,MADISON BRASS WORKS INC,214 Waubesa St,Madison,Dane
113014440,U S FOREST PRODUCTS LAB,1 Gifford Pinchot Dr,Madison,Dane
113014550,WI DOA / HILLFARMS HEATING PLANT,4630 University Ave,Madison,Dane
113014880,WILLIAM S MIDDLETON MEMORIAL VETERANS HOSPITAL,2500 Overlook Ter,Madison,Dane
113015100,MENDOTA MENTAL HEALTH INSTITUTE,,Madison,Dane
113015650,BERNTSEN BRASS & ALUMINUM FOUNDRY INC,2334 Pennsylvania Ave,Madison,Dane
113015980,PAYNE & DOLAN #5 - VERONA PLANT,6295 Lacy Rd,Fitchburg,Dane
113016090,MADISON GAS & ELECTRIC CO NINE SPRINGS STAT,7300 South Towne Dr,Madison,Dane
113016200,MADISON GAS & ELEC FITCHBURG GENERATING STAT,5701 McKee Rd,Fitchburg,Dane
113016310,RESEARCH PRODUCTS CORP,1015 E Washington Ave,Madison,Dane
113016640,COVANCE LABORATORIES INC,3301 Kinsman Blvd,Madison,Dane
113016860,WISCONSIN ANIMAL HEALTH LAB,6101 Mineral Point Rd,Madison,Dane
113016970,WINGRA READY MIX INC,2975 Kapec Rd,Fitchburg,Dane
113017080,LYCON INC,4122 Sycamore Ave,Madison,Dane
113017300,LYCON INC - MIDDLETON - UNIVERSITY AVE,8125 University Ave,Middleton,Dane
113017410,E C VOIT & SONS READY MIX,3450 Milwaukee St,Madison,Dane
113017740,MADISON CTY AIR CURTAIN DESTRUCTOR,6702 US Highway 12 and 18,Madison,Dane
113017850,MADISON GAS & ELECTRIC CO SYCAMORE STATION,4111 Sycamore Ave,Madison,Dane
113018180,ST MARYS HOSPITAL,700 S Park St,Madison,Dane
113018290,GE HEALTHCARE,3030 Ohmeda Dr,Madison,Dane
113018400,CONSOLIDATED PAVING CO,Highway Tt,Sun Prairie,Dane
113020380,COATING PLACE INC,200 Paoli St,Verona,Dane
113021260,COMPONENT BUILDING PRODUCTS,8605 Fairway Pl,Middleton,Dane
113022470,MADISON WATER UTILITY- OLIN AVENUE,119 E Olin Ave,Madison,Dane
113022910,MID CENTRAL ELECTRIC INC,880 Market St,Oregon,Dane
113023570,MENDOTA MENTAL HEALTH INSTITUTE,301 Troy Dr,Madison,Dane
113025000,WI DOA / OAK HILL CORRECTIONAL INSTITUTION,600 County Road Mm,Oregon,Dane
113025440,B&G FOODS INC ORTEGA PRODUCTS DIVISION,430 Industrial Cir,Stoughton,Dane
113035780,DANE COUNTY FARMERS UNION COOP,218 S Main St,Cottage Grove,Dane
113036990,MADISON PRE-HUNG DOORS & PRE-FINISHING,4775 County Road Bb,Oregon,Dane
113048430,HARTUNG BROTHERS INC,2622 Blaney Rd,Fitchburg,Dane
113052390,KLINKE CLOTHING CARE CORP,4518 Monona Drive,Madison,Dane
113053820,KLINKE CLOTHING CARE CORP,412 E Washington Ave,Madison,Dane
113058770,FINISHING TOUCH /TO-KAR INC,Same,,Dane
113060860,KLINKE CLOTHING CARE CORP,2502 Monroe St,Madison,Dane
113062400,FASHION CLEANERS,120 Jackson St,Sun Prairie,Dane
113062950,AMCOR FLEXIBLES HEALTHCARE INC,4101 Lien Rd,Madison,Dane
113063390,HYDRITE CHEMICAL CO,114 N Main St,Cottage Grove,Dane
113063500,RAYOVAC CORPORATION - NESBITT ROAD FACILITY,6343 Nesbitt Rd,Madison,Dane
