40001,15
40003,5
40005,1
40007,8
40009,4
40011,1
40013,1
40015,12
40017,1
40019,6
40021,8
40023,1
40025,1
40027,7
40029,1
40031,1
40033,6
40035,1
40037,1
40039,4
40041,1
40043,1
40045,1
40047,1
40049,1
40051,0
40053,1
40055,1
40057,4
40059,0
40061,1
40063,1
40065,4
40067,4
40069,0
40071,1
40073,9
40075,3
40077,1
40079,1
40081,0
40083,0
40085,1
40087,0
40089,1
40091,6
40093,1
40095,9
40097,14
40099,1
40101,0
40103,2
40105,8
40107,1
40109,6
40111,1
40113,1
40115,4
40117,1
40119,23
40121,6
40123,1
40125,1
40127,1
40129,
40131,
40133,23
40135,
40137,4
40139,5
40141,
40143,7
40145,11
40147,5
40149,6
40151,7
40153,25
