13001,22,Appling
13003,0,Atkinson
13005,13,Bacon
13007,83,Baker
13009,0,Baldwin
13011,31,Banks
13013,35,Barrow
13015,75,Bartow
13017,0,Ben Hill
13019,0,Berrien
13021,55,Bibb
13023,0,Bleckley
13025,73,Brantley
13027,0,Brooks
13029,0,Bryan
13031,3,Bulloch
13033,0,Burke
13035,5,Butts
13037,0,Calhoun
13039,74,Camden
13043,6,Candler
13045,8,Carroll
13047,45,Catoosa
13049,9,Charlton
13051,4,Chatham
13053,7,Chattahoochee
13055,6,Chattooga
13057,0,Cherokee
13059,0,Clarke
13061,62,Clay
13063,0,Clayton
13065,42,Clinch
13067,0,Cobb
13069,3,Coffee
13071,0,Colquitt
13073,23,Columbia
13075,0,Cook
13077,208,Coweta
13079,0,Crawford
13081,29,Crisp
13083,0,Dade
13085,6,Dawson
13087,0,Decatur
13089,0,DeKalb
13091,29,Dodge
13093,0,Dooly
13095,28,Dougherty
13097,36,Douglas
13099,0,Early
13101,7,Echols
13103,0,Effingham
13105,483,Elbert
13107,0,Emanuel
13109,0,Evans
13111,0,Fannin
13113,0,Fayette
13115,0,Floyd
13117,0,Forsyth
13119,0,Franklin
13121,0,Fulton
13123,0,Gilmer
13125,0,Glascock
13127,2,Glynn
13129,0,Gordon
13131,3,Grady
13133,8,Greene
13135,0,Gwinnett
13137,9,Habersham
13139,9,Hall
13141,0,Hancock
13143,0,Haralson
13145,0,Harris
13147,0,Hart
13149,0,Heard
13151,0,Henry
13153,95,Houston
13155,0,Irwin
13157,0,Jackson
13159,0,Jasper
13161,0,Jeff Davis
13163,0,Jefferson
13165,0,Jenkins
13167,22,Johnson
13169,0,Jones
13171,0,Lamar
13173,0,Lanier
13175,0,Laurens
13177,62,Lee
13179,0,Liberty
13181,0,Lincoln
13183,0,Long
13185,0,Lowndes
13187,0,Lumpkin
13189,102,McDuffie
13191,0,McIntosh
13193,0,Macon
13195,0,Madison
13197,0,Marion
13199,0,Meriwether
13201,0,Miller
13205,0,Mitchell
13207,0,Monroe
13209,0,Montgomery
13211,0,Morgan
13213,0,Murray
13215,0,Muscogee
13217,0,Newton
13219,0,Oconee
13221,0,Oglethorpe
13223,2,Paulding
13225,34,Peach
13227,0,Pickens
13229,56,Pierce
13231,99,Pike
13233,72,Polk
13235,0,Pulaski
13237,0,Putnam
13239,9,Quitman
13241,4,Rabun
13243,3,Randolph
13245,43,Richmond
13247,3,Rockdale
13249,4,Schley
13251,9,Screven
13253,0,Seminole
13255,9,Spalding
13257,0,Stephens
13259,34,Stewart
13261,9,Sumter
13263,0,Talbot
13265,0,Taliaferro
13267,17,Tattnall
13269,0,Taylor
13271,0,Telfair
13273,34,Terrell
13275,0,Thomas
13277,0,Tift
13279,35,Toombs
13281,0,Towns
13283,0,Treutlen
13285,234,Troup
13287,53,Turner
13289,0,Twiggs
13291,65,Union
13293,0,Upson
13295,15,Walker
13297,4,Walton
13299,21,Ware
13301,42,Warren
13303,2,Washington
13305,34,Wayne
13307,99,Webster
13309,83,Wheeler
13311,0,White
13313,74,Whitfield
13315,0,Wilcox
13317,35,Wilkes
13319,56,Wilkinson
13321,0,Worth
