Facility Name,State,Location,Type,Status,Related Documents
ASARCO Mission Mine Complex - San Xavier,AZ,Sahuarita,Title V Permit Renewal,Final permit issued on 12/5/2011,Docket #EPA-R09-OAR-2011-0808
"Pimalco Gila River, Indian Community",AZ,Chandler,Title V Permit Renewal,Final permit renewal issued on 10/23/2006,Docket #EPA-R09-OAR-2007-1114
Salt River Landfill,AZ,Scottsdale,Title V Permit Renewal,Final permit issued on 02/01/2008Ê,Docket #ÊEPA-R09-OAR-2007-1103
South Point Energy Center,AZ,Mohave Valley,Title V Permit Renewal,Final permit renewal issued on 03/22/2012,Docket #ÊEPA-R09-OAR-2011-0779
Tri-Cities Landfill,AZ,Scottsdale,Title V Permit Renewal,Final permit issued on 9/27/2013,Docket #EPA-RO9-OAR-2013-0612
Tri-Cities Landfill Energy Facility (TCLEF),AZ,Scottsdale,Title V Permit Renewal,Final permit renewal issued on 09/23/2015,Docket #ÊEPA-R09-OAR-2015-0517
