40001,15,Adair
40003,5,Alfalfa
40005,1,Atoka
40007,8,Beaver
40009,4,Beckham
40011,1,Blaine
40013,1,Bryan
40015,12,Caddo
40017,1,Canadian
40019,6,Carter
40021,8,Cherokee
40023,1,Choctaw
40025,1,Cimarron
40027,7,Cleveland
40029,1,Coal
40031,1,Comanche
40033,6,Cotton
40035,1,Craig
40037,1,Creek
40039,4,Custer
40041,1,Delaware
40043,1,Dewey
40045,1,Ellis
40047,1,Garfield
40049,1,Garvin
40051,0,Grady
40053,1,Grant
40055,1,Greer
40057,4,Harmon
40059,0,Harper
40061,1,Haskell
40063,1,Hughes
40065,4,Jackson
40067,4,Jefferson
40069,0,Johnston
40071,1,Kay
40073,9,Kingfisher
40075,3,Kiowa
40077,1,Latimer
40079,1,Le Flore
40081,0,Lincoln
40083,0,Logan
40085,1,Love
40087,0,McClain
40089,1,McCurtain
40091,6,McIntosh
40093,1,Major
40095,9,Marshall
40097,14,Mayes
40099,1,Murray
40101,0,Muskogee
40103,2,Noble
40105,8,Nowata
40107,1,Okfuskee
40109,6,Oklahoma
40111,1,Okmulgee
40113,1,Osage
40115,4,Ottawa
40117,1,Pawnee
40119,23,Payne
40121,6,Pittsburg
40123,1,Pontotoc
40125,1,Pottawatomie
40127,1,Pushmataha
40129,,Roger Mills
40131,,Rogers
40133,23,Seminole
40135,,Sequoyah
40137,4,Stephens
40139,5,Texas
40141,,Tillman
40143,7,Tulsa
40145,11,Wagoner
40147,5,Washington
40149,6,Washita
40151,7,Woods
40153,25,Woodward
