a,a,a,a,a
113011360,U S OIL - MCFARLAND TERMINALS,4306 & 4402 Terminal Dr,Amherst,Dane
113011470,FLINT HILLS RESOURCES PINE BEND LLC - MCFARLAND FACILITY,4405 Terminal Dr,Amherst,Dane
113012240,DIDION INC,4307 Terminal Drive,Amherst,Dane
113012350,ARC TERMINALS HOLDINGS LLC,4009 Triangle St,Amherst Junction,Dane
113012680,SCIENTIFIC PROTEIN LABS,700 E Main St,Amherst Junction,Dane
113013340,BOU-MATIC LLC,1919 S Stoughton Rd,Amherst Junction,Dane
113013670,SUB-ZERO FREEZER CO INC,4717 Hammersley Rd,Amherst Junction,Dane
113014000,WI DOA CAPITOL POWER PLANT,624 E Main St,Amherst Junction,Dane
113014110,MADISON BRASS WORKS INC,214 Waubesa St,Amherst Junction,Dane
113014440,U S FOREST PRODUCTS LAB,1 Gifford Pinchot Dr,Anson Tn,Dane
113014550,WI DOA / HILLFARMS HEATING PLANT,4630 University Ave,Antigo,Dane
113014880,WILLIAM S MIDDLETON MEMORIAL VETERANS HOSPITAL,2500 Overlook Ter,Antigo,Dane
113015100,MENDOTA MENTAL HEALTH INSTITUTE,,Antigo,Dane
113015650,BERNTSEN BRASS & ALUMINUM FOUNDRY INC,2334 Pennsylvania Ave,Antigo,Dane
113015980,PAYNE & DOLAN #5 - VERONA PLANT,6295 Lacy Rd,Antigo,Dane
113016090,MADISON GAS & ELECTRIC CO NINE SPRINGS STAT,7300 South Towne Dr,Antigo,Dane
113016200,MADISON GAS & ELEC FITCHBURG GENERATING STAT,5701 McKee Rd,Antigo,Dane
113016310,RESEARCH PRODUCTS CORP,1015 E Washington Ave,Antigo,Dane
113016640,COVANCE LABORATORIES INC,3301 Kinsman Blvd,Antigo,Dane
113016860,WISCONSIN ANIMAL HEALTH LAB,6101 Mineral Point Rd,Antigo,Dane
113016970,WINGRA READY MIX INC,2975 Kapec Rd,Antigo,Dane
113017080,LYCON INC,4122 Sycamore Ave,Antigo,Dane
113017300,LYCON INC - MIDDLETON - UNIVERSITY AVE,8125 University Ave,Antigo,Dane
113017410,E C VOIT & SONS READY MIX,3450 Milwaukee St,Antigo,Dane
113017740,MADISON CTY AIR CURTAIN DESTRUCTOR,6702 US Highway 12 and 18,Antigo,Dane
113017850,MADISON GAS & ELECTRIC CO SYCAMORE STATION,4111 Sycamore Ave,Antigo,Dane
113018180,ST MARYS HOSPITAL,700 S Park St,Antigo,Dane
113018290,GE HEALTHCARE,3030 Ohmeda Dr,Antigo,Dane
113018400,CONSOLIDATED PAVING CO,Highway Tt,Antigo,Dane
113020380,COATING PLACE INC,200 Paoli St,Antigo,Dane
113021260,COMPONENT BUILDING PRODUCTS,8605 Fairway Pl,Antigo,Dane
113022470,MADISON WATER UTILITY- OLIN AVENUE,119 E Olin Ave,Antigo,Dane
113022910,MID CENTRAL ELECTRIC INC,880 Market St,Antigo,Dane
113023570,MENDOTA MENTAL HEALTH INSTITUTE,301 Troy Dr,Antigo,Dane
113025000,WI DOA / OAK HILL CORRECTIONAL INSTITUTION,600 County Road Mm,Antigo,Dane
113025440,B&G FOODS INC ORTEGA PRODUCTS DIVISION,430 Industrial Cir,Antigo,Dane
113035780,DANE COUNTY FARMERS UNION COOP,218 S Main St,Antigo,Dane
113036990,MADISON PRE-HUNG DOORS & PRE-FINISHING,4775 County Road Bb,Antigo,Dane
